id,release_date,movie,production_budget,domestic_gross,worldwide_gross,tconst,primary_title,original_title,start_year,runtime_minutes,genres
2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,tt1298650,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,2011,136.0,"Action,Adventure,Fantasy"
3,2019-06-07,Dark Phoenix,350000000.0,42762350.0,149762350.0,tt6565702,Dark Phoenix,Dark Phoenix,2019,113.0,"Action,Adventure,Sci-Fi"
4,2015-05-01,Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,tt2395427,Avengers: Age of Ultron,Avengers: Age of Ultron,2015,141.0,"Action,Adventure,Sci-Fi"
7,2018-04-27,Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,tt4154756,Avengers: Infinity War,Avengers: Infinity War,2018,149.0,"Action,Adventure,Sci-Fi"
9,2017-11-17,Justice League,300000000.0,229024295.0,655945209.0,tt0974015,Justice League,Justice League,2017,120.0,"Action,Adventure,Fantasy"
10,2015-11-06,Spectre,300000000.0,200074175.0,879620923.0,tt2379713,Spectre,Spectre,2015,148.0,"Action,Adventure,Thriller"
11,2012-07-20,The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,tt1345836,The Dark Knight Rises,The Dark Knight Rises,2012,164.0,"Action,Thriller"
12,2018-05-25,Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,tt3778644,Solo: A Star Wars Story,Solo: A Star Wars Story,2018,135.0,"Action,Adventure,Fantasy"
13,2013-07-02,The Lone Ranger,275000000.0,89302115.0,260002115.0,tt1210819,The Lone Ranger,The Lone Ranger,2013,150.0,"Action,Adventure,Western"
14,2012-03-09,John Carter,275000000.0,73058679.0,282778100.0,tt0401729,John Carter,John Carter,2012,132.0,"Action,Adventure,Sci-Fi"
15,2010-11-24,Tangled,260000000.0,200821936.0,586477240.0,tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy"
17,2016-05-06,Captain America: Civil War,250000000.0,408084349.0,1140069413.0,tt3498820,Captain America: Civil War,Captain America: Civil War,2016,147.0,"Action,Adventure,Sci-Fi"
18,2016-03-25,Batman v Superman: Dawn of Justice,250000000.0,330360194.0,867500281.0,tt2975590,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,2016,151.0,"Action,Adventure,Fantasy"
19,2012-12-14,The Hobbit: An Unexpected Journey,250000000.0,303003568.0,1017003568.0,tt0903624,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,2012,169.0,"Adventure,Family,Fantasy"
21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000.0,258366855.0,960366855.0,tt1170358,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,2013,161.0,"Adventure,Fantasy"
22,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000.0,255119788.0,945577621.0,tt2310332,The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,2014,144.0,"Adventure,Fantasy"
23,2017-04-14,The Fate of the Furious,250000000.0,225764765.0,1234846267.0,tt4630562,The Fate of the Furious,The Fate of the Furious,2017,136.0,"Action,Crime,Thriller"
25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000.0,172558876.0,788241137.0,tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,2017,129.0,"Action,Adventure,Fantasy"
27,2012-05-04,The Avengers,225000000.0,623279547.0,1517935897.0,tt0848228,The Avengers,The Avengers,2012,143.0,"Action,Adventure,Sci-Fi"
35,1998-08-14,The Avengers,60000000.0,23385416.0,48585416.0,tt0848228,The Avengers,The Avengers,2012,143.0,"Action,Adventure,Sci-Fi"
29,2013-06-14,Man of Steel,225000000.0,291045518.0,667999518.0,tt0770828,Man of Steel,Man of Steel,2013,143.0,"Action,Adventure,Sci-Fi"
31,2012-07-03,The Amazing Spider-Man,220000000.0,262030663.0,757890267.0,tt0948470,The Amazing Spider-Man,The Amazing Spider-Man,2012,136.0,"Action,Adventure,Sci-Fi"
32,2012-05-18,Battleship,220000000.0,65233400.0,313477717.0,tt1440129,Battleship,Battleship,2012,131.0,"Action,Adventure,Sci-Fi"
