tmdb_id,tconst,primary_title,original_title,movie,runtime_minutes,genres,genre_ids,averagerating,numvotes,release_date_x,release_date_y,vote_average,vote_count,popularity,domestic_gross,production_budget,worldwide_gross
116977,tt0249516,Foodfight!,Foodfight!,Foodfight!,91.0,"Action,Animation,Comedy","[16, 28, 35, 10751]",1.9,8248,2012-12-31,2013-05-07,2.1,46,4.705,0,45000000,73706
308024,tt0326592,The Overnight,The Overnight,The Overnight,88.0,MISSING,"[9648, 35]",7.5,24,2015-06-19,2015-06-19,6.0,200,6.5760000000000005,1109808,200000,1165996
308024,tt3844362,The Overnight,The Overnight,The Overnight,79.0,"Comedy,Mystery","[9648, 35]",6.1,14828,2015-06-19,2015-06-19,6.0,200,6.5760000000000005,1109808,200000,1165996
83770,tt0337692,On the Road,On the Road,On the Road,124.0,"Adventure,Drama,Romance","[12, 18]",6.1,37886,2013-03-22,2012-12-21,5.6,518,8.919,720828,25000000,9313302
83770,tt4339118,On the Road,On the Road,On the Road,89.0,Drama,"[12, 18]",6.0,6,2013-03-22,2012-12-21,5.6,518,8.919,720828,25000000,9313302
83770,tt5647250,On the Road,On the Road,On the Road,121.0,Drama,"[12, 18]",5.7,127,2013-03-22,2012-12-21,5.6,518,8.919,720828,25000000,9313302
116745,tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,114.0,"Adventure,Comedy,Drama","[12, 35, 18, 14]",7.3,275300,2013-12-25,2013-12-25,7.1,4859,10.743,58236838,91000000,187861183
169917,tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,A Walk Among the Tombstones,114.0,"Action,Crime,Drama","[80, 18, 9648, 53]",6.5,105116,2014-09-19,2014-09-19,6.3,1685,19.373,26017685,28000000,62108587
135397,tt0369610,Jurassic World,Jurassic World,Jurassic World,124.0,"Action,Adventure,Sci-Fi","[28, 12, 878, 53]",7.0,539338,2015-06-12,2015-06-12,6.6,14056,20.709,652270625,215000000,1648854864
23514,tt0376136,The Rum Diary,The Rum Diary,The Rum Diary,119.0,"Comedy,Drama","[18, 35]",6.2,94787,2011-10-28,2011-10-27,5.7,652,12.011,13109815,45000000,21544732
76489,tt0383010,The Three Stooges,The Three Stooges,The Three Stooges,92.0,"Comedy,Family",[35],5.1,28570,2012-04-13,2012-04-13,5.1,215,9.357999999999999,44338224,30000000,54052249
324352,tt0393049,Anderson's Cross,Anderson's Cross,Anderson's Cross,98.0,"Comedy,Drama,Romance","[10749, 35, 18]",5.5,106,2010-12-31,2010-05-20,5.0,1,0.6,0,300000,0
